"Imported Companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Kumo Corp","Kumo Corp is the team behind KumoMTA, the first Open-Source MTA made especially for large-volume senders.

KumoMTA brings the speed and flexibility ESPs and large organizations need to manage and send millions of messages per hour, without the continuous license fee headaches senders have to deal with.

We believe Open Source enables better relationships with our customers, one where relationships are built on mutual success and support.","Software Development","2-10 employees","Privately Held","Phoenix, AZ","United States","kumomta.com","https://www.linkedin.com/company/kumocorp"
,"KumoMTA","KumoMTA is the first Open-Source MTA made especially for large-volume senders.

KumoMTA brings the speed and flexibility ESPs and large organizations need to manage and send millions of messages per hour, without the continuous license fee headaches senders have to deal with.

We believe Open Source enables better relationships with our customers, one where relationships are built on mutual success and support.","Software Development","2-10 employees","Privately Held","Phoenix, AZ","United States","kumomta.com","https://www.linkedin.com/company/kumomta"
,"Senders","Senders is focused on email infrastructure, email scaling, email deliverability, and email sendability.

We are trusted by over 60 venture-backed companies with making sure their emails are being sent and delivered, and avoiding the spam folder.

Our service offering covers:
1. Deliverability infrastructure. Setting up and maintaining systems that allow for safely scaling up email sending, including for cold (sales) email.
2. Account assistance. Maintaining well-organized and hygienic cold email outbound setups.
3. Strategy. Advising companies on what is working and what to expect.

Please reach out for our overview deck, pricing, or partnership opportunities.","IT System Operations and Maintenance","11-50 employees","Privately Held","Brooklyn, NY","United States","senders.co","https://www.linkedin.com/company/senderslab"
,"Livemailers","LiveMailers Get 10 X Better
Results Than Bulk Email!

Did you notice that email filtering companies are working harder to stop your bulk emails from getting delivered?

Each day, we discover companies who are finding it more and more difficult to get their bulk email messages delivered to their prospects.

LiveMailers solves this problem by sending one-to-one emails to your prospects from our LiveMailer teams (real people). Our email delivery rates is 10 X higher than bulk email systems because our emails show up as a one-to-one emails and not from a bulk email server.

We dont use any automation software or tools like mail merge. Each email is sent separately from a real person and not a bulk email program. This prevents you from being mistakenly classified as sending SPAM.

Plus with LiveMailers, you show your prospects that you have taken the time to reach out to them personally, and that makes a big difference.","Advertising Services","51-200 employees","Privately Held","Nevada, Las Vegas","United States","livemailers.com","https://www.linkedin.com/company/livemailers"
,"Metro Mail Services, Inc.","Metro Mail Services offers trusted advice to ensure organizations meet mail and office operation requirements. Not only limited to the Washington D.C. Metropolitan area, MMS distributes and manages a large number of postage meters, other mailing equipment, and shipping solutions locally and nationwide. Since 2000, MMS continuously provides onsite/offsite technical support to meet each clients unique mail and office operation requirements.","IT Services and IT Consulting","11-50 employees","Privately Held","Springfield, Virginia","United States","callmms.com","https://www.linkedin.com/company/metro-mail-services-inc"
,"Mission Inbox  - Email Deliverability Management Hub","Mission Inbox platform is designed to make email deliverability management easier. It forces companies to follow strict email deliverability guidelines for three months to reach the ""unlimited sending. No spam"" promise land. The platform enables the individuals responsible for email deliverability to monitor the real-time status and health of their IPs, Domains, Projects, and Mailboxes. Allowing individuals to manage and oversee email deliverability effectively regardless of technical expertise.

Mission Inbox's self-serve platform is adept at navigating the latest Google and Yahoo limitations, making it a vital tool for businesses seeking to maximize their email marketing impact","IT System Custom Software Development","2-10 employees","Partnership","Sheridan, Wyoming","United States","missioninbox.com","https://www.linkedin.com/company/missioninbox"
,"eConnect Email","eConnect helps companies increase sales and extend brand awareness via electronic communications. This powerful email marketing campaign manager is bolstered with value-added services. Services include creative design, email strategic planning, list management and full-service email campaign management. Whether youre looking for a robust email distribution application or high level email consulting, eConnect can help. 

eConnect Email is a powerful email platform allowing businesses to build, send and track email campaigns easily and affordably. eConnect Email is simply, email done better.","Advertising Services","2-10 employees","Privately Held","Austin, TX","United States","econnectemail.com","https://www.linkedin.com/company/econnect-email"
,"MailClickConvert","MailClickConvert is a high-volume bulk email marketing software that enables you to send 100% CAN-SPAM compliant campaigns. We help you send emails to any cold or purchased contacts list without affecting your website's reputation.","IT Services and IT Consulting","11-50 employees","Privately Held","Wheaton, IL","United States","mailclickconvert.com","https://www.linkedin.com/company/mailclickconvert1"
,"Take 3 Digital","We help Marketing Agencies increase their client B2B email marketing offerings while reducing the associated costs by 20% - and lowering their stress level with each new email project they take on!

We understand the need for flexible growth.  Take 3 Digital provides marketing support for Acquisition, ABM Coordination, Loyalty and Retention.","Marketing Services","2-10 employees","Partnership","Chicago, Illinois","United States","take3digital.com","https://www.linkedin.com/company/take-3-digital"
,"G&C Direct Mail Marketing, Inc.","Reliability. Integrity. Responsiveness. This is the mindset of G&C Direct Mail Marketing, Inc..

We are a full service mailer with the power and ability to manage, produce and deliver your mailing projects. We offer a full range of campaign management services in order to maximize the power of YOUR data. 

Our turnkey solution starts and ends with our partnership with you. We know that there are many factors that come to play when making a decision to use a service provider and want you to know that we value the relationship with our customer more than anything else. Whether it is a 5,000 piece postcard, a 5,000,000 complex mailer, hand fulfillment, list acquisition, postal optimization, data processing and MORE, our expert staff and SME's manage each project from beginning to end.","Advertising Services","51-200 employees","Privately Held","DALLAS, Texas","United States","gcdirectmail.com","https://www.linkedin.com/company/g&c-direct-mail-marketing-inc."
,"Postal Advocate Inc.","As a managed service provider in the mail industry, we focus solely on helping you manage your shipping and mailing equipment and postage spends to find cost savings, eliminate fees and recover overpayments and lost postage funds.

Since 2013, we have been able to help our clients reduce their equipment expenses on average 74% and save over $87,000,000.  

- Our average client savings is $1,800,000.
- Recovered over $23M in lost postage, vendor overcharges, and fees.
- Managed over 77K in Enterprise Online Postage
- Handle over 182,000 pieces of equipment for our clients.
- Over 224+ years of Industry expertise and knowledge
- Provide full visibility of all mail and equipment spend through our comprehensive web-based tool called enterpriseAdvocate with ongoing support.

Our clients are diverse in industry and size starting from 20-2000+ locations.","Business Consulting and Services","11-50 employees","Privately Held","Framingham, MA","United States","postaladvocate.com","https://www.linkedin.com/company/postal-advocate-inc-"
